City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
235,Fengrun,IN,78.75,light rain,39.8333,118.1167,Super 8 Tangshan North Railway Station Tangfeng Road
236,Lagos,IN,77.32,overcast clouds,6.5833,3.75,
237,Jaru,IN,81.91,clear sky,-10.4389,-62.4664,Hotel Paraná
238,Bethel,IN,79.16,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
239,San Andres,IN,86.02,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
240,Fare,IN,78.42,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
241,Nalut,IN,83.53,clear sky,30.3333,10.85,
242,Ambon,IN,76.84,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
243,Canmore,IN,82.51,few clouds,51.0834,-115.3521,Blackstone Mountain Lodge by CLIQUE
246,Weihai,IN,78.93,broken clouds,37.5017,122.1136,Beihai Travel Resort
249,Fukue,IN,79.68,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
254,Rupert,IN,89.55,clear sky,42.6191,-113.6772,Uptown Motel
256,Dadri,IN,89.46,broken clouds,28.5667,77.55,Bhushan Kushwaha
258,Auki,IN,83.16,light rain,-8.7676,160.7034,Auki Motel
259,Kampot,IN,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
262,Khujner,IN,78.1,overcast clouds,23.7833,76.6,Farnichar shop
267,Namatanai,IN,83.03,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
268,Port Blair,IN,81.95,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
269,Samarai,IN,79.9,overcast clouds,-10.6167,150.6667,Nuli Sapi
274,Sarh,IN,78.71,thunderstorm,9.1429,18.3923,Domicile 1sur le goudron
276,San Policarpo,IN,81.79,overcast clouds,12.1791,125.5072,JM Lodge
287,Puntarenas,IN,82.33,light rain,9.9763,-84.8384,Michael's Surfside Hotel
289,Kidal,IN,88.27,clear sky,18.4411,1.4078,
292,Faanui,IN,78.44,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
295,Nanae,IN,75.43,broken clouds,41.8833,140.6833,とみや旅館
296,Laibin,IN,78.22,broken clouds,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
