City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
78,North Bend,43.4065,-124.2243,68.16,82,75,29.93,IN,mist
79,Avarua,-21.2078,-159.775,78.85,69,20,9.22,IN,few clouds
80,Cabo San Lucas,22.8909,-109.9124,97.52,59,20,8.99,IN,few clouds
81,Olafsvik,64.8945,-23.7142,50.07,85,84,12.57,IN,broken clouds
82,Cape Town,-33.9258,18.4232,51.28,81,35,2.3,IN,smoke
83,Clyde River,70.4692,-68.5914,34.03,100,90,18.41,IN,moderate rain
84,Termoli,41.9888,14.9895,82.26,55,41,9.82,IN,scattered clouds
85,Georgetown,5.4112,100.3354,82.89,90,20,2.3,IN,haze
86,Teguise,29.0605,-13.564,68.22,83,20,17.27,IN,few clouds
87,Hualmay,-11.0964,-77.6139,64.44,79,31,8.19,IN,scattered clouds
88,Las Palmas,28.4204,-14.0131,70.59,73,20,13.8,IN,few clouds
89,Esperance,-33.8667,121.9,49.84,80,16,17.58,IN,few clouds
90,Puerto Ayora,-0.7393,-90.3518,82.36,83,23,7.0,IN,few clouds
91,Amapa,1.0,-52.0,74.62,84,88,2.75,IN,overcast clouds
92,Saskylakh,71.9167,114.0833,62.15,59,100,6.62,IN,overcast clouds
93,Medeiros Neto,-17.3739,-40.2206,65.73,77,54,7.4,IN,broken clouds
94,Bac Lieu,9.285,105.7244,78.4,86,91,8.88,IN,overcast clouds
95,Southbridge,42.0751,-72.0334,80.24,62,30,6.26,IN,scattered clouds
96,Sibut,5.718,19.0739,70.2,95,97,4.34,IN,overcast clouds
97,Langsa,4.4683,97.9683,74.77,90,98,1.68,IN,overcast clouds
98,East London,-33.0153,27.9116,53.85,68,0,13.22,IN,clear sky
99,Harnoli,32.2792,71.5539,95.13,44,13,6.15,IN,few clouds
100,San Jeronimo,-11.9472,-75.2829,52.59,54,30,6.93,IN,scattered clouds
101,Maragogi,-9.0122,-35.2225,72.46,86,8,12.28,IN,clear sky
102,Vila Velha,-20.3297,-40.2925,67.95,73,0,3.44,IN,clear sky
103,Sao Miguel Do Araguaia,-13.275,-50.1628,76.12,34,15,3.69,IN,few clouds
104,Ulladulla,-35.35,150.4667,50.88,52,25,16.42,IN,scattered clouds
105,Saint-Philippe,-21.3585,55.7679,67.55,80,32,5.35,IN,light rain
106,Morondava,-20.2833,44.2833,68.45,51,1,17.36,IN,clear sky
107,Saskatoon,52.1168,-106.6345,84.94,24,20,8.01,IN,few clouds
108,Leningradskiy,69.3833,178.4167,37.24,95,100,4.81,IN,light rain
109,Rio Grande,-32.035,-52.0986,58.95,73,73,6.31,IN,broken clouds
110,Portland,45.5234,-122.6762,93.47,37,1,1.99,IN,clear sky
111,Buritama,-21.0661,-50.1472,69.51,27,0,7.61,IN,clear sky
112,Nedjo,9.5046,35.5019,56.89,99,100,3.51,IN,light rain
113,Port-Gentil,-0.7193,8.7815,75.31,74,97,10.71,IN,overcast clouds
114,Buin,-33.7333,-70.75,55.74,79,94,0.18,IN,overcast clouds
115,Port Hedland,-20.3167,118.5667,57.25,72,40,4.61,IN,scattered clouds
116,Peniche,39.3558,-9.3811,67.48,89,50,7.16,IN,scattered clouds
117,Saint Anthony,45.0205,-93.218,92.34,26,1,3.0,IN,clear sky
118,Chapais,49.7834,-74.8492,74.98,45,100,13.11,IN,overcast clouds
119,Anadyr,64.75,177.4833,57.7,93,90,5.99,IN,moderate rain
120,Mahebourg,-20.4081,57.7,70.09,83,40,11.5,IN,light rain
121,Pisco,-13.7,-76.2167,64.45,72,0,19.57,IN,clear sky
122,Sorland,67.667,12.6934,52.45,95,100,14.88,IN,overcast clouds
123,Kamenka,51.3223,42.7678,60.04,74,58,6.13,IN,broken clouds
124,Cherskiy,68.75,161.3,52.43,62,84,4.79,IN,broken clouds
125,Bagra,23.7333,86.3167,79.95,85,75,3.89,IN,broken clouds
126,Alyangula,-13.8483,136.4192,71.47,100,90,0.0,IN,overcast clouds
127,Kahului,20.8947,-156.47,86.02,79,40,21.85,IN,light rain
128,Salalah,17.0151,54.0924,78.89,94,90,6.91,IN,light intensity drizzle
129,Tucuman,-26.8241,-65.2226,71.6,43,17,0.0,IN,few clouds
130,Batagay-Alyta,67.8006,130.4114,62.4,64,20,8.08,IN,few clouds
131,Yulara,-25.2406,130.9889,39.04,70,42,5.75,IN,scattered clouds
132,Giraldo,6.6831,-75.9892,53.49,97,100,3.11,IN,overcast clouds
133,Nome,64.5011,-165.4064,50.07,87,90,11.5,IN,overcast clouds
134,Muroto,33.2833,134.15,77.04,81,100,11.27,IN,overcast clouds
135,Ankang,32.68,109.0172,74.64,87,72,1.39,IN,broken clouds
136,Krasnyy Chikoy,50.3643,108.7512,59.31,77,0,0.76,IN,clear sky
137,San Matias,-16.3667,-58.4,82.53,29,0,5.99,IN,clear sky
