City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Mnogovershinnyy,RU,2021-07-23 21:59:02,53.9353,139.9242,71.22,77,97,2.82
67,Prado,BR,2021-07-23 21:59:02,-17.3411,-39.2208,69.06,76,100,8.57
68,Alice Springs,AU,2021-07-23 21:59:03,-23.7,133.8833,44.15,61,1,8.05
69,Carnarvon,AU,2021-07-23 21:59:03,-24.8667,113.6333,59.07,67,75,9.22
70,Plouzane,FR,2021-07-23 21:59:03,48.3833,-4.6167,64.72,94,90,6.91
71,Uva,RU,2021-07-23 21:59:04,56.9908,52.1852,57.47,73,100,4.99
72,Faanui,PF,2021-07-23 21:59:04,-16.4833,-151.75,78.15,67,10,14.83
73,Atuona,PF,2021-07-23 21:59:04,-9.8,-139.0333,77.32,76,40,11.41
74,Pisco,PE,2021-07-23 21:54:44,-13.7,-76.2167,64.45,72,40,17.27
75,Padang,ID,2021-07-23 21:59:05,-0.9492,100.3543,77.0,83,100,3.65
76,Upernavik,GL,2021-07-23 21:59:05,72.7868,-56.1549,40.28,93,100,6.44
77,Kavieng,PG,2021-07-23 21:58:42,-2.5744,150.7967,82.8,78,15,15.21
78,Kahului,US,2021-07-23 21:59:06,20.8947,-156.47,85.26,81,35,13.0
79,Ketchikan,US,2021-07-23 21:59:06,55.3422,-131.6461,55.31,96,100,4.63
80,Mahebourg,MU,2021-07-23 21:59:07,-20.4081,57.7,68.29,83,75,5.75
81,Lieksa,FI,2021-07-23 21:59:07,63.3167,30.0167,48.99,75,40,6.91
82,Linhai,CN,2021-07-23 21:59:07,28.85,121.1167,77.94,89,100,4.45
83,Saint George,US,2021-07-23 21:59:08,37.1041,-113.5841,100.87,27,21,1.99
84,Ambovombe,MG,2021-07-23 21:59:08,-25.1667,46.0833,65.28,58,99,8.72
85,Svetlyy,RU,2021-07-23 21:59:08,54.675,20.1347,66.25,90,8,5.26
86,Tuatapere,NZ,2021-07-23 21:59:09,-46.1333,167.6833,44.82,83,54,5.53
87,Taoudenni,ML,2021-07-23 21:59:09,22.6783,-3.9836,100.38,22,95,9.04
88,Dubbo,AU,2021-07-23 21:59:09,-32.25,148.6167,48.33,93,90,11.5
89,Sarangani,PH,2021-07-23 21:59:10,5.4033,125.4636,83.34,77,77,9.55
90,Esperance,AU,2021-07-23 21:56:49,-33.8667,121.9,46.24,75,70,24.34
91,Khatanga,RU,2021-07-23 21:59:10,71.9667,102.5,52.54,75,19,7.05
92,Port Alfred,ZA,2021-07-23 21:59:11,-33.5906,26.891,53.26,66,100,4.43
93,Soe,ID,2021-07-23 21:59:11,-9.8607,124.284,60.01,45,3,3.51
94,Thompson,CA,2021-07-23 21:59:11,55.7435,-97.8558,71.76,37,75,16.11
95,Skibbereen,IE,2021-07-23 21:59:12,51.55,-9.2667,71.4,93,83,5.26
96,Great Yarmouth,GB,2021-07-23 21:56:45,52.6083,1.7305,61.02,89,65,12.33
97,Poya,NC,2021-07-23 21:59:12,-21.35,165.15,74.34,71,19,2.84
98,Salinas,US,2021-07-23 21:57:52,36.6777,-121.6555,94.69,63,1,9.33
99,Constitucion,CL,2021-07-23 21:57:36,-35.3333,-72.4167,53.94,81,100,9.01
100,Awbari,LY,2021-07-23 21:59:13,26.5921,12.7805,83.34,17,0,10.31
101,Severobaykalsk,RU,2021-07-23 21:59:13,55.65,109.3167,53.2,88,92,5.28
102,Lamar,US,2021-07-23 21:59:13,33.6668,-95.5836,92.86,69,70,5.19
103,Provideniya,RU,2021-07-23 21:59:14,64.3833,-173.3,53.82,62,56,7.9
104,Port-Cartier,CA,2021-07-23 21:59:14,50.0334,-66.8654,66.42,78,100,5.21
105,Tura,IN,2021-07-23 21:59:14,25.5198,90.2201,75.81,88,99,5.73
106,Alofi,NU,2021-07-23 21:59:15,-19.0595,-169.9187,78.69,89,7,10.36
107,Chara,RU,2021-07-23 21:59:15,56.9064,118.2631,59.97,81,97,1.36
108,Airai,TL,2021-07-23 21:59:15,-8.9266,125.4092,56.14,34,22,3.4
109,Kinshasa,CD,2021-07-23 21:55:24,-4.3246,15.3215,75.52,83,71,4.61
110,Bagnolo Mella,IT,2021-07-23 21:59:16,45.4291,10.1844,81.3,63,75,1.01
111,Qaanaaq,GL,2021-07-23 21:56:51,77.484,-69.3632,43.32,58,20,3.85
112,Mangai,CD,2021-07-23 21:59:16,-4.05,19.5333,75.54,32,94,0.74
113,Avarua,CK,2021-07-23 21:59:17,-21.2078,-159.775,77.05,69,20,8.05
114,Hualmay,PE,2021-07-23 21:59:03,-11.0964,-77.6139,64.9,79,29,10.58
115,Batagay-Alyta,RU,2021-07-23 21:59:17,67.8006,130.4114,62.47,66,44,1.88
116,Komsomolskiy,UZ,2021-07-23 21:59:17,40.4272,71.7189,78.22,47,0,4.61
117,Salinopolis,BR,2021-07-23 21:59:18,-0.6136,-47.3561,77.67,86,52,11.65
118,Sobolevo,RU,2021-07-23 21:59:18,54.4299,31.8996,56.19,91,20,2.53
119,Baneh,IR,2021-07-23 21:59:18,35.9975,45.8853,72.45,36,0,4.23
120,Omboue,GA,2021-07-23 21:59:19,-1.5746,9.2618,73.2,76,76,6.04
121,Merida,MX,2021-07-23 21:57:46,20.9667,-89.6167,93.02,52,48,15.05
122,Vung Tau,VN,2021-07-23 21:59:19,10.346,107.0843,80.67,82,100,18.59
123,Namatanai,PG,2021-07-23 21:59:20,-3.6667,152.4333,81.34,78,50,7.78
124,Anadyr,RU,2021-07-23 21:59:20,64.75,177.4833,57.7,82,40,8.01
125,Bima,ID,2021-07-23 21:59:20,-8.4667,118.7167,69.94,94,3,3.78
126,Sibu,MY,2021-07-23 21:59:21,2.3,111.8167,77.31,94,20,1.01
127,Melchor De Mencos,GT,2021-07-23 21:59:21,17.0686,-89.1522,91.4,62,75,4.61
128,Tarauaca,BR,2021-07-23 21:59:21,-8.1614,-70.7656,84.88,45,55,0.85
129,Meghraj,IN,2021-07-23 21:59:22,23.5,73.5,78.39,85,98,6.58
130,Clyde River,CA,2021-07-23 21:59:22,70.4692,-68.5914,39.43,87,75,23.02
131,Dawei,MM,2021-07-23 21:59:22,14.0833,98.2,78.26,93,100,8.48
132,New Norfolk,AU,2021-07-23 21:59:23,-42.7826,147.0587,44.74,82,73,1.43
133,Coihaique,CL,2021-07-23 21:59:23,-45.5752,-72.0662,43.41,96,55,5.82
134,Trapani,IT,2021-07-23 21:59:23,37.8333,12.6667,77.92,57,0,5.44
135,East London,ZA,2021-07-23 21:59:24,-33.0153,27.9116,52.99,66,94,3.67
136,Ilo,PE,2021-07-23 21:59:24,-17.6394,-71.3375,63.66,73,0,7.74
137,Castro,BR,2021-07-23 21:59:24,-24.7911,-50.0119,54.68,77,0,3.31
138,Lebu,CL,2021-07-23 21:56:58,-37.6167,-73.65,50.56,82,100,16.62
139,Imbituba,BR,2021-07-23 21:59:25,-28.24,-48.6703,66.09,84,2,14.27
140,Bodden Town,KY,2021-07-23 21:59:25,19.2833,-81.25,87.98,69,75,3.0
141,Souillac,MU,2021-07-23 21:59:26,-20.5167,57.5167,68.38,83,75,5.75
142,Dunedin,NZ,2021-07-23 21:59:26,-45.8742,170.5036,51.8,65,25,1.99
143,Santa Fe,AR,2021-07-23 21:59:26,-31.6333,-60.7,73.98,51,4,6.38
144,Bethel,US,2021-07-23 21:55:26,41.3712,-73.414,81.01,66,69,4.59
145,Port-Gentil,GA,2021-07-23 21:59:27,-0.7193,8.7815,75.16,78,90,5.75
